CODIGO,ESPECIE,ESPECIE,LONGITUD_mm
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,46
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,47
1.1.10,Squalius pyrenaicus,Nativo,48
1.1.10,Squalius pyrenaicus,Nativo,48
1.1.10,Squalius pyrenaicus,Nativo,48
1.1.10,Squalius pyrenaicus,Nativo,48
1.1.10,Squalius pyrenaicus,Nativo,48
1.1.10,Squalius pyrenaicus,Nativo,48
1.1.10,Squalius pyrenaicus,Nativo,49
1.1.10,Squalius pyrenaicus,Nativo,50
1.1.10,Squalius pyrenaicus,Nativo,50
1.1.10,Squalius pyrenaicus,Nativo,50
1.1.10,Squalius pyrenaicus,Nativo,50
1.1.10,Squalius pyrenaicus,Nativo,50
1.1.10,Squalius pyrenaicus,Nativo,51
1.1.10,Squalius pyrenaicus,Nativo,51
1.1.10,Squalius pyrenaicus,Nativo,51
1.1.10,Squalius pyrenaicus,Nativo,51
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,52
1.1.10,Squalius pyrenaicus,Nativo,53
1.1.10,Squalius pyrenaicus,Nativo,53
1.1.10,Squalius pyrenaicus,Nativo,53
1.1.10,Squalius pyrenaicus,Nativo,53
1.1.10,Squalius pyrenaicus,Nativo,54
1.1.10,Squalius pyrenaicus,Nativo,54
1.1.10,Squalius pyrenaicus,Nativo,55
1.1.10,Squalius pyrenaicus,Nativo,55
1.1.10,Squalius pyrenaicus,Nativo,55
1.1.10,Squalius pyrenaicus,Nativo,55
1.1.10,Squalius pyrenaicus,Nativo,56
1.1.10,Squalius pyrenaicus,Nativo,56
1.1.10,Squalius pyrenaicus,Nativo,57
1.1.10,Squalius pyrenaicus,Nativo,57
1.1.10,Squalius pyrenaicus,Nativo,57
1.1.10,Squalius pyrenaicus,Nativo,57
1.1.10,Squalius pyrenaicus,Nativo,57
1.1.10,Squalius pyrenaicus,Nativo,59
1.1.10,Squalius pyrenaicus,Nativo,59
1.1.10,Squalius pyrenaicus,Nativo,60
1.1.10,Squalius pyrenaicus,Nativo,60
1.1.10,Squalius pyrenaicus,Nativo,60
1.1.10,Squalius pyrenaicus,Nativo,60
1.1.10,Squalius pyrenaicus,Nativo,60
1.1.10,Squalius pyrenaicus,Nativo,61
1.1.10,Squalius pyrenaicus,Nativo,61
1.1.10,Squalius pyrenaicus,Nativo,61
1.1.10,Squalius pyrenaicus,Nativo,61
1.1.10,Squalius pyrenaicus,Nativo,61
1.1.10,Squalius pyrenaicus,Nativo,61
1.1.10,Squalius pyrenaicus,Nativo,62
1.1.10,Squalius pyrenaicus,Nativo,62
