CODIGO,ALTITUD,CODIGO_S,EMBALSES_SC,Demb arr.(m),Demb ab.(m),Dist.Guadalq.(m),UTMX,UTMY
1.12.14,301,12,2,No existe,10767,44248,344837.84,4224576.12
1.12.15,590,12,2,No existe,28101,60428,351344.77,4235257.19
1.12.16,336,12,2,No existe,12363,44748,347807.83,4226811.15
1.12.17,426,12,2,No existe,15264,48960,362925.91,4221139.25
1.12.18,222,12,2,No existe,1837,35042,357107.93,4216270.19
1.12.20,441,12,2,No existe,18713,52187,364001.9,4222702.26
1.13.1,94,13.3,0,No existe,No existe,2530,329587.05,4191137.91
1.13.2,264,13.3,0,No existe,No existe,9587,329357.01,4196372.92
1.13.3,169,13.2,0,No existe,No existe,3700,345044.04,4197971.05
1.13.4,136,13.2,0,No existe,No existe,4940,348128.04,4199444.08
1.13.5,329,13.1,0,No existe,No existe,11761,348699.98,4207021.1
1.13.6,248,13.1,0,No existe,No existe,3951,351690.02,4202725.11
1.14.1,496,14,8,No existe,7180,94112,305474.66,4235408.85
1.14.2,473,14,8,2523,17433,92203,307857.65,4236820.87
1.14.3,453,14,8,11656,4156,82893,315028.69,4233419.91
1.14.4,505,14,8,No existe,4426,76377,317925.77,4224804.91
1.14.5,455,14,8,No existe,1413,66947,325173.83,4219501.95
1.14.6,307,14,8,No existe,15363,30626,330502.94,4206252.96
1.14.7,309,14,8,No existe,16229,31383,325391.93,4205501.92
1.14.8,410,14,8,No existe,26560,36098,318310.89,4208899.87
1.14.9,361,14,8,No existe,19243,34540,327514.92,4207955.94
1.14.10,319,14,8,21517,2550,14343,325078,4195798.89
1.14.15,543,14,8,No existe,7109,114934,290752.62,4235347.74
1.14.16,523,14,8,No existe,3181,110785,293700.61,4237136.76
1.14.17,533,14,8,No existe,14156,96739,310712.62,4241594.9
1.14.18,477,14,8,No existe,8206,90632,310611.66,4236078.89
1.14.19,376,14,8,5860,19378,51586,333325.89,4213514
1.14.20,331,14,8,14890,10414,43075,335814.93,4209023.01
1.14.21,475,14,8,2635,3300,47337,342322.95,4208275.05
1.14.22,322,14,8,4479,8172,39033,336911.96,4206121.01
1.14.23,283,14,8,8214,4477,35279,335290.97,4203380.99
1.14.25,166,14,8,26960,7300,22772,326953.96,4202004.92
1.14.26,491,14,8,No existe,28320,39650,321551.88,4211582.91
1.14.27,324,14,8,No existe,19553,28364,319450.91,4206190.88
1.14.28,226,14,8,No existe,10105,20074,321790.95,4201819.88
1.14.29,149,14,8,No existe,3938,14143,321371.98,4197351.87
1.14.30,281,14,8,No existe,14181,29357,325325.94,4204289.92
1.14.31,209,14,8,No existe,7260,22696,324480.96,4201401.9
1.15.1,130,15.2,0,No existe,No existe,5857,314992.01,4190820.8
1.15.2,196,15.1,0,No existe,No existe,10168,317356,4193799.83
1.15.3,69,15.1,0,No existe,No existe,300,318087.05,4187404.82
1.16.1,515,16,6,No existe,5654,126847,256162.6,4226199.46
1.16.2,374,16,6,No existe,38031,97331,270951.66,4223039.56
1.16.3,363,16,6,No existe,31587,90940,274929.73,4214886.57
1.16.4,336,16,6,No existe,31111,90477,274123.69,4219968.57
1.16.5,287,16,6,No existe,22090,81465,279966.74,4216108.61
1.16.6,333,16,6,No existe,24624,83958,280423.75,4214126.61
1.16.7,427,16,6,4049,6433,115146,262620.61,4227773.51
1.16.8,196,16,6,1517,3806,58091,289561.77,4214360.67
1.16.9,334,16,6,5312,6023,46176,297979.81,4212331.73
1.16.10,563,16,6,No existe,34192,75027,303132.74,4223626.8
1.16.11,471,16,6,No existe,24364,61733,308933.78,4219367.83
1.16.13,342,16,6,No existe,17451,54892,309230.82,4214406.82
1.16.14,211,16,6,No existe,3910,41373,304603.85,4208615.77
1.16.15,259,16,6,No existe,4618,37971,309158.89,4206029.8
1.16.16,224,16,6,No existe,3655,23657,307617.94,4198673.77
1.16.17,134,16,6,No existe,3029,19358,303443.96,4194329.72
1.16.18,329,16,6,No existe,29611,29045.06,295886.9,4199348.68
1.16.23,511,16,6,No existe,21466,130425,252652.57,4228647.44
1.16.24,421,16,6,No existe,6018,114637,262798.59,4230301.52
1.16.25,514,16,6,No existe,5588,126878,257075.62,4224197.46
1.16.26,488,16,6,No existe,2029,123350,259599.62,4225016.48
1.16.27,423,16,6,No existe,43744,103044,267722.67,4220366.53
1.16.28,375,16,6,No existe,38106,97415,269853.67,4221862.55
1.16.29,345,16,6,20466,30510,89889,279451.67,4225022.63
1.16.30,289,16,6,27188,23788,83127,280278.7,4220857.62
1.16.31,270,16,6,33010,17966,77263,281827.73,4216940.62
1.16.32,230,16,6,46131,4845,64144,286408.77,4213475.65
1.16.33,313,16,6,No existe,18312,72575,288033.71,4222548.68
1.16.34,246,16,6,No existe,10061,64315,288958.74,4218042.68
1.16.37,318,16,6,No existe,12785,58473,287318.79,4210877.65
1.16.39,325,16,6,No existe,13865,51295,309726.84,4212003.82
1.16.40,411,16,6,No existe,20059,57497,312590.84,4213646.84
1.16.41,154,16,6,No existe,21563,16480.4,296713.97,4190530.66
1.16.42,73,16,6,No existe,12838,7755.4,301842.02,4184941.69
1.16.43,83,16,6,No existe,3233,9719.85,304671,4189063.72
1.16.44,224,16,6,No existe,17427,23913.47,311189.97,4195320.79
1.16.45,437,16,6,No existe,33764,75359,298238.72,4224195.76
1.16.46,317,16,6,No existe,19481,61107,302299.8,4215503.77
1.16.47,201,16,6,No existe,3987,45559,300757.83,4209920.75
1.16.48,431,16,6,9352,1609.379565,114556.36,264884,4230062
1.16.49,400,16,6,2664,44228.99231,108844.81,269171,4230359
1.16.50,401,16,6,9341,37713.53595,102475.07,272775,4227575
1.16.51,370,16,6,No existe,36424.44568,101185.98,274941,4229094
1.16.52,450,16,6,No existe,43726.22723,108487.76,273851,4234377
1.16.53,460,16,6,No existe,48820.73889,113582.27,271905,4237409
1.16.54,462,16,6,No existe,47790.74617,112552.28,270892,4235901
1.17.1,473,17,2,No existe,18890,44309,277604.87,4197359.54
1.17.2,303,17,2,No existe,8228,33647,284078.9,4194808.58
1.17.3,391,17,2,No existe,18395,43817,281188.85,4200991.58
1.17.4,241,17,2,No existe,6434,31858,286140.9,4195369.6
1.17.6,287,17,2,No existe,6852,32178,287803.89,4197512.62
1.17.7,155,17,2,317,10174,19882,293632.96,4190870.64
1.17.8,117,17,2,5996,4493,14204,293424.99,4186345.63
1.17.11,365,17,2,No existe,11214,36494,285518.87,4199663.61
1.17.12,237,17,2,No existe,2911,28232,287663.91,4194667.61
1.17.13,186,17,2,No existe,500,25841,288757.93,4192326.61
1.17.14,165,17,2,No existe,5260,14965,292202,4185239.62
1.18.1,426,18.1,1,No existe,20147,38285,277484.89,4193675.53
1.18.2,282,18.1,1,No existe,12504,30613,275036.93,4188250.5
1.18.3,242,18.3,0,No existe,No existe,20878,266331.96,4180825.41
1.18.4,97,18.3,0,No existe,No existe,8290,263497.01,4173290.37
1.18.6,183,18.1,1,No existe,3503,21632,275304.96,4183761.49
1.18.7,31,18.2,0,No existe,No existe,1906,271587.07,4168323.42
1.18.8,40,18.1,1,4246,No existe,5383,281895.03,4177556.52
1.19.1,576,19,2,No existe,14386,46899,268800.85,4197274.48
1.19.2,368,19,2,No existe,4706,37198,269438.9,4189744.46
1.19.3,348,19,2,No existe,8614,38843,262491.87,4191831.41
1.19.4,293,19,2,No existe,3297,33526,264837.89,4189502.43
1.19.5,369,19,2,No existe,12312,47988,260439.81,4199193.42
1.19.6,325,19,2,No existe,6495,42178,259783.84,4194879.4
1.19.7,515,19,2,1386,18015,53684,255759.78,4201442.39
1.19.8,339,19,2,10339,9111,44779,256072.82,4195861.38
1.19.9,146,19,2,No existe,19186,21530,254859.93,4180448.33
1.19.10,72,19,2,No existe,7087,9431,255991.98,4173678.32
1.19.11,119,19,2,5937,No existe,19894,262246.95,4180352.38
1.19.12,60,19,2,13845,No existe,12009,262159.99,4175353.37
1.19.13,302,19,2,No existe,31427,33771,252915.88,4186969.33
1.19.14,69,19,2,No existe,8832,11176,259582.98,4175715.35
1.19.15,18,19,2,21160,No existe,4655,258797.01,4170659.33
1.19.16,418,19,2,No existe,18130,53813,261751.78,4203707.44
1.19.17,421,19,2,No existe,18016,53686,264119.8,4202429.45
1.19.18,469,19,2,No existe,20946,56663,266382.81,4201767.47
1.19.19,468,19,2,No existe,23131,58831,266268.78,4205203.48
1.19.20,625,19,2,No existe,34795,70493,271264.77,4207880.52
1.19.21,585,19,2,No existe,29560,65230,267688.76,4208188.5
1.19.22,582,19,2,No existe,30452,66120,268286.75,4210097.51
1.20.1,33,20,0,No existe,No existe,3654,253679,4170118.29
1.21.1,439,21,4,No existe,16088,87091,255039.71,4210725.41
1.21.2,607,21,4,No existe,26777,97779,259336.7,4213741.45
1.21.3,87,21,4,12409,678,36782,243891.83,4190626.28
1.21.4,357,21,4,4303,8890,44966,247419.81,4194375.31
1.21.7,103,21,4,7729,6778,44136,241451.78,4195862.27
1.21.8,86,21,4,11726,2790,40112,241373.8,4193292.26
1.21.9,395,21,4,No existe,23885,57404,232450.15,4201124.02
1.21.10,237,21,4,No existe,12929,46390,236147.61,4194197.78
1.21.11,376,21,4,No existe,4112,74077,244556.64,4216676.35
1.21.12,446,21,4,No existe,13033,84030,250279.66,4216569.39
1.21.13,395,21,4,No existe,7080,78081,247715.67,4214197.37
1.21.14,409,21,4,No existe,4332,75126,249539.74,4205288.36
1.21.15,228,21,4,3916,6676,59621,241870.71,4205880.3
1.21.16,304,21,4,No existe,3098,56333,245203.76,4200339.31
1.21.17,327,21,4,No existe,4601,57480,239857.73,4203107.28
1.21.18,134,21,4,208,14341,51652,241499.75,4200816.28
1.21.19,362,21,4,No existe,16454,49914,232814.19,4194720.04
1.21.20,161,21,4,No existe,7844,41331,238290.81,4190799.23
1.21.21,294,21,4,No existe,14571,47670,232593.7,4189113.37
1.21.22,225,21,4,No existe,6094,39320,237696.84,4187342.22
1.21.23,116,21,4,No existe,2130,35286,240752.84,4187409.24
1.21.24,467,21,4,No existe,13649.0535,92842.77489,225001.7355,4216846.446
1.21.25,453,21,4,No existe,12661.49759,91855.21898,227156.7664,4218244.456
1.21.27,443,21,4,No existe,6475.245131,85668.96651,231137.994,4212704.481
1.21.28,376,21,4,No existe,2418.774525,81525.63529,233264.5463,4214812.82
1.21.29,445,21,4,No existe,3922.235763,83501.59937,235988.5991,4218303.373
1.21.30,408,21,4,No existe,9637.828947,89217.19255,236900.6954,4221201.53
1.21.31,471,21,4,No existe,14624.39044,94203.75404,238956,4224505
1.21.32,399,21,4,No existe,9098.693542,88678.05715,234156.9939,4221481.383
1.21.33,400,21,4,No existe,11673.59478,91252.95839,232718.4539,4222387.265
1.21.38,421,21,4,No existe,18889.73618,98469.09979,228472.1355,4226454.597
1.21.39,452,21,4,No existe,23693.21332,103272.5769,225151.2891,4227591.888
1.21.40,452,21,4,No existe,26264.33157,105843.6952,223258.6512,4229735.168
1.21.41,486,21,4,No existe,35681.82507,115261.1887,218865.2914,4234165.754
1.21.42,506,21,4,No existe,37441.9789,117021.3425,217115.3353,4230722.947
1.22.1,269,22.1,0,No existe,No existe,22059,241422.93,4176259.22
1.22.2,13,22.1,0,No existe,No existe,6383,245415.02,4164990.22
1.22.3,61,22.4,0,No existe,No existe,11938,235903,4164201.15
1.22.4,13,22.4,0,No existe,No existe,3235,235193.05,4156868.12
1.22.6,15,22.2,0,No existe,No existe,4757,241639.03,4162048.18
1.23.2,413,23,9,No existe,13287,123563,180827.69,4208128.04
1.23.3,410,23,9,No existe,7426,117703,185323.55,4205834.38
1.23.4,351,23,9,No existe,2930,113203,188308.49,4207634.19
1.23.5,411,23,9,No existe,13473,123746,181668.49,4206938.61
1.23.6,368,23,9,No existe,6813,117088,185694.88,4207657.47
1.23.7,479,23,9,No existe,14660,124229,182258,4212248.45
1.23.8,366,23,9,No existe,3425,113009,192525.72,4208876.03
1.23.9,397,23,9,No existe,9759,117254,193334.42,4211772.62
